data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,#country+code,#event+code,,#date+occurred,,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,
4736568,404,KEN5438,5438,05/01/2017,2017,1,Protests,Peaceful protest,Protesters (Kenya),Street Traders (Kenya),6,,,0,60,Eastern Africa,Kenya,Busia,Matayos,Burumba,Busia,0.46,34.112,1,Daily Nation,National,"Transport in Busia Town was disrupted for more than one hour Monday as matatu operators held a demonstration to protest the deplorable condition of the main bus park and roads.The protesters planted banana tubers in numerous potholes around the park and nearby roads.Traders also joined the protest, saying they have been losing customers because the roads are rendered impassable when it rains.",0,1552576898,KEN
4736841,404,KEN6504,6504,05/01/2017,2017,2,Protests,Peaceful protest,Protesters (Kenya),ODM: Orange Democratic Movement,6,,,0,60,Eastern Africa,Kenya,Nairobi,Langata,Karen,Langata,-1.3667,36.7268,1,Twitter,Other,ODM youths protested in Langata when the primary results were announced. ,0,1552576901,KEN
5143690,404,KEN6010,6010,4/30/2017,2017,1,Riots,Mob violence,Rioters (Kenya),ODM: Orange Democratic Movement,5,Civilians (Kenya),,7,57,Eastern Africa,Kenya,Nairobi,Kilimani,Kilimani,Kilimani,-1.2839,36.7977,1,Daily Nation,National,"The crowd at a Kilimani polling centre attacked a woman who was believed to have been bribing voters during the ODM primaries, though no reports of injuries sustained.",0,1556042860,KEN
4737062,404,KEN5437,5437,4/30/2017,2017,1,Protests,Peaceful protest,Protesters (Kenya),,6,,,0,60,Eastern Africa,Kenya,Nyandarua,Ndaragwa,Ndaragwa,Mairo Inya,0.0256,36.4078,1,Sunday Standard,National,Residents of Mairo Inya township in Ndaragwa protest along the streets against alleged rigging out of Ndaragwa MP Waweru Ndiritu,0,1552576902,KEN
4737072,404,KEN6011,6011,4/30/2017,2017,1,Riots,Violent demonstration,Rioters (Kenya),ODM: Orange Democratic Movement,5,Police Forces of Kenya (2013-),,1,15,Eastern Africa,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.283,36.817,2,Daily Nation,National,ODM youths forced their way into the Ziwani Hall during the primaries in Nairobi. The police forced them out and locked the gates.,0,1552576902,KEN
4737124,404,KEN5435,5435,4/29/2017,2017,1,Violence against civilians,Attack,Turkana Ethnic Militia (Kenya),,4,Civilians (Kenya),Pokot Ethnic Group (Kenya),7,47,Eastern Africa,Kenya,Baringo,Tiaty,Ribkwo,Kapedo,1.1692,36.0955,1,Daily Nation,National,Gunmen killed five civilians from Pokot and injured another 3 at Kapedo trading centre. This is believed to be a revenge attack.,5,1552576902,KEN
4737313,404,KEN5436,5436,4/29/2017,2017,1,Riots,Mob violence,Rioters (Kenya),,5,Rioters (Kenya),,5,55,Eastern Africa,Kenya,Uasin Gishu,Ainabkoi,Kapsoya,Eldoret,0.5167,35.2833,1,The Standard,National,Several people were injured Saturday when they were pelted with stones as two political rival groups clashed in Eldoret town.,0,1552576902,KEN
4737324,404,KEN6503,6503,4/29/2017,2017,2,Protests,Peaceful protest,Protesters (Kenya),,6,,,0,60,Eastern Africa,Kenya,Nakuru,Naivasha,Lake View,Naivasha,-0.7202,36.4285,1,Twitter,Other,Youth in Naivasha protested the incumbent governor's defeat in the primaries. ,0,1552576902,KEN
4737399,404,KEN6140,6140,4/28/2017,2017,2,Protests,Peaceful protest,Protesters (Kenya),Jubilee Coalition,6,,,0,60,Eastern Africa,Kenya,Marsabit,Laisamis,Kargi/South Horr,South Horr,2.096,36.9191,1,The Star,National,Residents of South Horr protested against the cancellation of the nominations in the Jubilee Coalition primary elections on 28/04/2017. They sat on the border of Samburu and Marsabit counties questioning why the nominations are held in the neighbouring Samburu and all other wards in Marsabit county but not in South Horr. No fatalities. The source does not indicate the exact time of the event.,0,1552576902,KEN
4737612,404,KEN5434,5434,4/28/2017,2017,1,Riots,Violent demonstration,Rioters (Kenya),Jubilee Coalition,5,Police Forces of Kenya (2013-),,1,15,Eastern Africa,Kenya,Laikipia,Laikipia East,Salama,Laikipia,0.4167,36.75,1,Daily Nation,National,"On April 28, dozens of people were injured as police dispersed residents protesting the declaration of Laikipia governor Joshua Irungu as the Jubilee Party flagbearer.",0,1552576902,KEN
4737595,404,KEN6502,6502,4/28/2017,2017,1,Violence against civilians,Attack,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),,7,37,Eastern Africa,Kenya,Nairobi,Langata,Karen,Langata,-1.3667,36.7268,1,Twitter,Other,"An Mbita candidate was assaulted in Langata at T-Mall. Police have accused political activist Brian Weke, along with a group of 10 men, of assaulting and attempting to kidnap him. ",0,1552576902,KEN
4737671,404,KEN5433,5433,4/27/2017,2017,1,Violence against civilians,Attack,Moran Ethnic Militia (Kenya),,4,Civilians (Kenya),Pokot Ethnic Group (Kenya),7,47,Eastern Africa,Kenya,Turkana,Loima,Turkwel,Kokoro,2.7588,35.5,2,Daily Nation,National,"Morans allegedly raided Kamunge village in the neighbouring Turkana County, killed one person and made away with an unknown number of livestock on Thursday last week.",1,1552576902,KEN
4737906,404,KEN6497,6497,4/27/2017,2017,2,Riots,Violent demonstration,Rioters (Kenya),Jubilee Coalition,5,Police Forces of Kenya (2013-),,1,15,Eastern Africa,Kenya,Kisii,Nyaribari Chache,Ibeno,Bomorenda,-0.75,34.8333,2,Twitter,Other,"Jubilee supporters in Itiero, Bomorenda, rioted when the Jubilee primaries winner, George Karina, was announced. Police took charge and ordered all civilians out of the county tallying hall.",0,1552576903,KEN
4737907,404,KEN6499,6499,4/27/2017,2017,2,Riots,Violent demonstration,Rioters (Kenya),Jubilee Coalition,5,,,0,50,Eastern Africa,Kenya,Nyamira,Kitutu Masaba,Manga,Kitutu Chache,-0.6333,34.8333,2,Twitter,Other,"There were riots in polling stations around Kitutu Chache, as Jubilee supporters rejected the primaries. ",0,1552576903,KEN
4737908,404,KEN6501,6501,4/27/2017,2017,2,Riots,Violent demonstration,Rioters (Kenya),,5,,,0,50,Eastern Africa,Kenya,Meru,Central Imenti,Abothuguchi West,South Imenti,-0.0667,37.7,2,Twitter,Other,Youth in Imenti South rioted and destroyed ballot boxes because they arrived after the votes had been tallied. ,0,1552576903,KEN
4737921,404,KEN6008,6008,4/27/2017,2017,2,Protests,Peaceful protest,Protesters (Kenya),Jubilee Coalition,6,,,0,60,Eastern Africa,Kenya,Nakuru,Bahati,Bahati,Gingalili,-0.207,36.116,2,Daily Nation,National,Jubilee supporters protested at polling stations in Kiamaina (south of Gingalili village) over names missing from the register.,0,1552576903,KEN
4737922,404,KEN6009,6009,4/27/2017,2017,2,Protests,Peaceful protest,Protesters (Kenya),Jubilee Coalition,6,,,0,60,Eastern Africa,Kenya,Nakuru,Subukia,Bahati,Kabazi,-0.0833,36.1667,1,Daily Nation,National,Jubilee supporters in Kabazi blocked voting temporarily to protest the low numbers of ballot papers available.,0,1552576903,KEN
4737925,404,KEN6498,6498,4/27/2017,2017,2,Riots,Violent demonstration,Rioters (Kenya),ODM: Orange Democratic Movement,5,,,0,50,Eastern Africa,Kenya,Kisumu,Kisumu Central,Market Milimani,Kisumu,-0.1,34.75,1,Twitter,Other,ODM supporters rioted in Kisumu Central when Ken Obura was declared winner of the primaries. ,0,1552576903,KEN
